,UTC Gregorian,altitude (km),x-coordinate,y-coordinate,z-coordinate,x velocity,y velocity,z velocity
0,2024-03-19 00:00:00.000,499.863700028026,-4689.528597064767,4924.441603741925,-7452.383472656358,-0.5829878338748642,1.102336648737756,7.598025038451859
1,2024-03-19 00:01:00.000,499.9354725191906,-4713.946092102184,4979.382438300154,-6994.421674244903,-0.2311554663788166,0.7278340698114125,7.661613426158222
2,2024-03-19 00:03:00.753,500.5075461384149,-4699.448987402699,5020.910361940923,-6066.464786153724,0.4687202923794542,-0.0430347837960652,7.684426573306582
3,2024-03-19 00:05:14.914,501.7615319981132,-4585.746449950489,4956.9204091446,-5042.937820210521,1.220425302081368,-0.9113829686565478,7.544988977046758
4,2024-03-19 00:07:18.841,503.3972895845773,-4393.39486608496,4794.503689159255,-4123.795531604384,1.876645155633303,-1.707372985207838,7.26480033865415
5,2024-03-19 00:09:18.631,505.2856259874179,-4132.876970023088,4544.886385799733,-3276.457467714293,2.464430512141122,-2.45546703967553,6.861023537004074
6,2024-03-19 00:11:22.406,507.398896613443,-3793.215526726533,4194.97255593689,-2459.749316026032,3.013184223597976,-3.190915277378365,6.314476784219823
7,2024-03-19 00:13:36.693,509.6787657205941,-3352.888147363263,3716.170284250391,-1659.261035079884,3.530429156905142,-3.928097983290642,5.585152264884077
8,2024-03-19 00:15:49.349,511.7062893536931,-2855.556298776066,3151.086250853854,-973.0797809961916,3.95220119265483,-4.576911487625539,4.741173627631968
9,2024-03-19 00:17:53.124,513.2211862449203,-2346.477586334951,2551.477671463183,-439.958369520618,4.259320418252181,-5.096959531192445,3.859406195295593
10,2024-03-19 00:19:57.684,514.2387211915884,-1801.262531246808,1888.88023031547,-18.45248735986758,4.479912746699478,-5.525316646888499,2.89757348890284
11,2024-03-19 00:22:07.868,514.6508938816878,-1208.293715254517,1146.453599942289,289.9862424208441,4.613126639675449,-5.860567572020485,1.832539820084273
12,2024-03-19 00:24:20.426,514.3240606537865,-593.4643105678388,353.9297082337928,458.6911693727536,4.646057635788869,-6.074809861422996,0.7081088927317628
13,2024-03-19 00:26:23.054,513.3476530797034,-26.54772784825978,-397.0081597590288,480.8783194712345,4.585704276169933,-6.153008056515048,-0.3468946348666228
14,2024-03-19 00:28:24.552,511.788168208459,522.7469469481221,-1143.381665618512,375.4302095154901,4.442880547094281,-6.113654855084858,-1.386325574120857
15,2024-03-19 00:30:30.100,509.6534514598807,1066.96578055732,-1901.967937473748,135.2298501092407,4.213242448230982,-5.950046468486738,-2.433944008651666
16,2024-03-19 00:32:45.199,506.9220341049422,1614.636821995531,-2686.211840425852,-266.8971875598236,3.880339321770683,-5.636384001586862,-3.507892446435689
17,2024-03-19 00:34:51.152,504.1539182472607,2079.997779387496,-3371.136661955215,-768.1363417728157,3.498342049017537,-5.220087010522537,-4.438148216740221
18,2024-03-19 00:36:51.420,501.4920259207656,2475.94603744582,-3969.712544390068,-1351.288575722556,3.077797026629954,-4.717552382407194,-5.244856461427319
